	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP325,0.036015433247469,0.0923618676382568,0.0565320179936527,0.0849934777968624,0.0429206987453829,0.0109862055566783,0.0446959107508229,0.132586826876855,0.0907287783681588,0.0997392882779789,0.12787891775597,-0.0249936110297388
bSNP327,0.0516991176874086,0.0296501263300587,0.0347780414826901,0.0113973546463037,0.0124301058832621,0.0156175912522497,0.0469775839061842,0.0262318789838815,0.0258068775541793,0.0478534317544866,0.0487266784861046,-0.0200899165133576
bSNP328,0.0416704278350829,0.0253091681225652,0.0195170860689339,0.0169002930739161,0.0115020394622084,0.0146708257904187,0.051234022878763,0.0428506828689055,0.0472320602229494,0.0481308451125856,0.0686425696643541,0.000946151856342725
bSNP489,0.0353287527647784,0.0584572413710959,0.0408467903242149,0.0413436509707613,0.0240239579814115,0.78959581048605,0.0327985179843778,0.090086292562083,0.041711951919953,0.0269146835322751,0.0413008879182047,0.613409605613683
bSNP673,0.0265890666514261,0.223834694955298,0.247809678676263,0.212122053040726,0.212214293476547,0.0138297882610323,0.021177963629668,0.247861675189578,0.232937990779073,0.219637732297024,0.221524100547727,0.0171840920340432
bSNP679,0.0143369397010336,0.0311872828341743,0.0342899018301148,0.0274526813231809,0.0219118170135425,0.0373018431235208,0.0274538740872936,0.0495581723038822,0.0320740951010238,0.048277627878879,0.0424793635911368,-0.0481199853679967
bSNP684,0.011533805755977,0.0452738106152654,0.0232531927172162,0.0406658001071886,-0.0041874395545316,0.0178783649098236,0.0061268119602945,0.0560584050680129,0.0169908351241347,0.0533883338104379,0.0227886983370692,-0.0057490762163283
bSNP686,0.0917889366390249,0.0901937034750148,0.113969639829929,0.0837270590398902,0.0375483027680012,0.0179373035437613,0.0307246097811674,0.0449282817212035,0.0195643554921925,0.0495793475582868,0.0269501433594363,-0.0134129045556898
bSNP687,0.0165993424488164,0.0342924416187261,-0.000416779175471671,0.0144906770273081,0.008937348007775,0.0218868137988648,0.0633149684805584,0.0698050293018199,0.0591908073674726,0.0705809704999561,0.0574439895807225,0.0021165242570608
bSNP688,0.0684471415521462,0.0710635385971917,0.0625224280519722,0.0492652840309142,0.0378506663075319,0.0198054303721869,0.10552059856761,0.0713160707188955,0.0629919087981895,0.0740238929262713,0.0860294312473338,0.0179267048131642
bSNP690,0.0216931551986531,0.0461096672087013,0.0260356093597285,0.0542630974885184,0.001382116976506,0.0193248516831123,0.0275478431774552,0.0459691596669709,0.0028413556560455,0.0290222554828565,-0.0192099373360512,-0.0017203419145859
bSNP695,0.0151000604239288,0.0048542450893431,0.0143166734058058,0.0156039703976645,0.0296732055771198,0.0262142080903624,0.0644652887962415,0.0684141285812449,0.0512751645569889,0.0472413684077026,0.0561123442278954,0.0305175333082879
bSNP696,0.0224946482840607,0.0072415300581409,-0.0056202425894522,0.015470054503223,-0.0027788312975456,0.0232604793490845,0.0509210111092828,0.052505975933866,0.0491010952009851,0.0597581341492978,0.0389069589422278,0.0092096151669739
