adk	gyrB	mdh	recA	purA	fumC	icd	MLST_type
bSNP1663	10	4	8	2	8	11	8	10
bSNP1664	4	2	5	19	5	26	25	38
bSNP1665	35	29	4	73	5	37	25	405
bSNP1667	487	1	226	6	84	7	8	5612
bSNP1668	13	19	36	30	28	40	13	538
bSNP1669	487	1	226	6	84	7	8	5612
bSNP1672	6	4	11	6	8	29	18	212
bSNP1674	36	9	17	25	11	24	13	73
bSNP1675	951?	19	17	26	11	38	37	9698?
bSNP1676	18	17	5	4	5	106	6	393
bSNP1677	43	15	11	6	7	41	18	101
bSNP1678	36	9	17	25	11	24	13	73
bSNP1679	21	27	5	4	5	35	6	69
bSNP1680	18	17	5	4	5	106	6	393
bSNP1681	43	15	11	6	7	41	18	101
bSNP1682	6	5	24	6	18	23	16	1249
bSNP1683	13	19	23	10	1	24	14	80
bSNP1684	28	25	7	24	11	33	29	62
bSNP1689	36	9	17	25	11	24	13	73
bSNP1690	36	9	17		11	24	13	Unknown
bSNP1693	13	9	16	9	10	13	13	12
bSNP1700	6	4	8	2	8	11	8	48
bSNP1701	468	4	8	2	8	11	8	5442
bSNP1702	6	4	8	2	257	7	8	2967
bSNP1706		156	17	17	25	16?*	14	Unknown
bSNP1707	477	32	9	2	8	65	26	5548
bSNP1708	6	33	11	2	7	29	16	1844
bSNP1710	6	3	11	6	8	4	16	906
bSNP1711	20	803?	5	45?	50	798?*	43	Unknown
bSNP1713	13	10	17	807?	11	14?	14	Unknown
bSNP1714	13	13	36	30	28	40	13	555
bSNP1715	36	9	17	25	11	24	13	73
bSNP1716	13	9	16	9	10	13	13	12
bSNP1717	35	477	286	191	16	728	177	5652
bSNP1719	14	10	17	74	7	14	14	404
bSNP1721	13	49	17	25	25	195	89	5644
bSNP1726	13	923?	16	9	126	13	13	Unknown
bSNP1727	1025?	19	30		25	38	13	Unknown
bSNP1728	21	27	5	4	5	35	6	69
bSNP1729	53		36	29	780?*		13	Unknown
bSNP1730	13	19	30	29	25	38	13	83
bSNP1731	37	19	17	26	8	38	37	421
bSNP1733	12	8	402	2	269	192	254	5259
bSNP1734	13	19	23	10	1	24	14	80
bSNP1735	18	17	5	4	5	106	6	393
bSNP1737	21	27	5	4	5	35	6	69
bSNP1738	18	10	17	17	25	52	13	1159
bSNP1740	14	10	17	74	7	14	14	404
bSNP1741	36	9	17	25	128	24	13	968
bSNP1742	99	33	24	7	8	6	33	453
bSNP1743	10	4	8	2	8	11	8	10
bSNP1744	36	9	17	25	11	24	13	73
bSNP1746	88	19	23	26	44	103	36	372
bSNP1747	18	10	17	17	25	52	13	1159
bSNP1749	36	9	17	25	11	238	13	1278
bSNP1750	13	19	30	82	14	39	36	491
bSNP1752	13	84	17	34	68	38	13	420
bSNP1754	12	54	1	47	2	58	344	3018
bSNP1755	6	3	9	7	7	23	26	129
bSNP1756	34	28	28	4	16	36	25	70
bSNP1757	13	10	18	93	68	108	97	636
bSNP1758	36	9	17	25	11	24	13	73
bSNP1759	148	5	9	14	47	29	18	2628
bSNP1760	13	121	17	10	11	706	13	5571
bSNP1761	21	27	5	4	5	35	6	69
bSNP1762	37	86	17	26	11	38	37	390
bSNP1763	38	30	17	28	25	39	13	681
bSNP1764	36	9	17	25	11	24	13	73
bSNP1765	6	4	9	7	48	8	1	210
bSNP1766	6	4	9	7	48	8	1	210
bSNP1767	6	32	9	2	8	65	26	297
bSNP1769	34	28	28	4	16	36	25	70
bSNP1770	13	50	16	25	37	39	13	135
bSNP1771	43	15	11	6	7	41	18	101
bSNP1772	4	2	5	19	5	26	25	38
bSNP1773	85	78	59	62	58	88	29	354
bSNP1774	10	1	71	6	8	11	1	409
bSNP1775	21	27	5	4	5	35	6	69
bSNP1776	244?*	12	20	7	12	4	1	Unknown
bSNP1777	14	10	17	10	7	14?*	200	1193?*
bSNP1778	13	19	30	82	14	39	36	491
bSNP1779	6	4	24	14	8	4	16	58
bSNP1780	13	19	23	10	1	24	14	80
bSNP1781	34	28	28	4	16	36	25	70
bSNP1782	21	27	5	4	5	35	6	69
bSNP1783	13	9	16	9	10	13	13	12
bSNP1788	13	9	16	9	10	13	13	12
bSNP1791	10	1	71	6	8	11	1	409
bSNP1792	10	4	8	2	8	11	8	10
bSNP1794	18	20	5	4	5	22	6	130
